,Unnamed: 0,Datetime,Tweet Id,Text,Username,Clean,Language
0,0,2023-01-29 23:48:43+00:00,1619845025046867968,@POTUS @VP Record high inflation. Open borders. A preventable war. Biden should be impeached.,MusielakDouglas,Record high inflation Open borders A preventable war Biden impeached,en
1,1,2023-01-29 23:42:03+00:00,1619843346377359360,@lavern_spicer Jobs up. GDP up. *Worldwide* inflation under better control than most places... https://t.co/t8sLIgUE9u,hurrakhi,Jobs GDP *Worldwide* inflation better control places,en
2,2,2023-01-29 23:35:27+00:00,1619841682731679744,"$PSEI - Cooling inflation seen limiting Fed rate hikes https://t.co/EU6a3RevPk

https://t.co/16CYNVXsx0 #PSETODAY #PSEI #Philippines",psetoday,PSEI - Cooling inflation seen limiting Fed rate hikes,en
4,4,2023-01-29 22:52:44+00:00,1619830935167574018,"Sadly,inflation is high. What must we do?",alexowusu_p,Sadly inflation high What,en
5,5,2023-01-29 21:18:27+00:00,1619807208560279552,You heard of inflation? These are the prices now,reginaegeorges,You heard inflation These prices,en
7,7,2023-01-29 19:08:24+00:00,1619774480649428993,"@__Wait_for_it_ @MichaelMOTTCM what are you talking about,
oil prices been flattish for last 3 month, natgas price plunging.  inflation # don't care about metal prices..

you think Powell has credibility?  wake up, he is following  what the bond market telling him to do, right now bond mkt says 25bps hike",Truking852,talking oil prices flattish month natgas price plunging inflation don't care metal prices think Powell credibility wake following bond market telling right bond mkt says bps hike,en
9,9,2023-01-29 17:15:26+00:00,1619746048616071168,Fed policymakers have signaled they expect interest rates ultimately to go a bit higher - to just over 5% - and have warned they do not expect to cut rates this year so as to make sure they definitely win the war on inflation.,yyuulian,Fed policymakers signaled expect interest rates ultimately bit higher - - warned expect cut rates year sure definitely win war inflation,en
10,10,2023-01-29 16:05:09+00:00,1619728363202945025,"$PSEI - Cooling US inflation lifts hope for smaller Fed rate hike https://t.co/EU6a3RevPk

https://t.co/bEcgi4Ywor #PSETODAY #PSEI #Philippines",psetoday,PSEI - Cooling US inflation lifts hope smaller Fed rate hike,en
11,11,2023-01-29 15:11:22+00:00,1619714828947587076,"This week will be important!

Monday: Economic Sentiment (EU)

Wednesday: Inflation Rate (EU), FED Interest Rate Decision (US), ISM Manufacturing PMI (US), Caixin Manufacturing PMI (CN)

Thursday: BOE Interest Rate (GB), ECB Interest Rate (EU)

Friday: ISM Non-Manufacturing (US)",Consyder,This week important Monday: Economic Sentiment (EU)Wednesday: Inflation Rate (EU) FED Interest Rate Decision (US) ISM Manufacturing PMI (US) Caixin Manufacturing PMI (CN)Thursday: BOE Interest Rate (GB) ECB Interest Rate (EU)Friday: ISM Non-Manufacturing (US),en
12,12,2023-01-29 15:08:09+00:00,1619714019811786754,"@MichaelMOTTCM being hawkish in an environment where inflation is coming down, firms are laying off while consumer debt are skyrocketing??
yeah right...",Truking852,hawkish environment inflation coming firms laying consumer debt skyrocketing yeah right,en
14,14,2023-01-29 14:07:12+00:00,1619698680801689601,"@limitthegovt @kawma1110 You have inflation because you do not adhere to the concept of virtue. For you, limits are only set when problems arise. Virtue in obtaining necessity is the main driving factor of a sustaining healthy economy and not profit itself. It is how capitalism survived not selfishness.",Anarchbayan,You inflation adhere concept virtue For limits set problems arise Virtue obtaining necessity main driving factor sustaining healthy economy profit It capitalism survived selfishness,en
15,15,2023-01-29 13:35:49+00:00,1619690782105157632,@POTUS Inflation for the people is a gain?,CharlesRingling,Inflation people gain,en
17,17,2023-01-29 12:48:23+00:00,1619678846953074688,It is understandable why some people choose the path of lifestyle inflation. Life becomes nothing but more stressful as you get older; sometimes you just want to have fun or be rewarded for all your hardwork.,TASHtalker,It understandable people choose path lifestyle inflation Life stressful older want fun rewarded hardwork,en
18,18,2023-01-29 11:38:19+00:00,1619661210668105728,"@tinkerbelly_29 20K would have enough between 2012-2016, when inflation, food prices, &amp; transpo fare were low during the time of the late president PNoy Aquino. 1/2",juneys07,K -2016 inflation food prices transpo fare low time late president PNoy Aquino /2,en
20,20,2023-01-29 11:23:21+00:00,1619657444887609344,"$PSEI - Farm modernization, more industry, services trade seen key to addressing inflation https://t.co/EU6a3RevPk

https://t.co/Wzr25YO4TF #PSETODAY #PSEI #Philippines",psetoday,PSEI - Farm modernization industry services trade seen key addressing inflation,en
21,21,2023-01-29 10:56:03+00:00,1619650574911418370,@ivanmyk13 Now more than ever #inflation,Nephron826,Now,en
22,22,2023-01-29 10:42:23+00:00,1619647137272467458,@Virgini86646075 @TheTodayShow It's not the inflation. It's the open LNP policy of suppressing our wages. They did PR on it several years ago.,mpcasey93o0,It's inflation It's open LNP policy suppressing wages They PR years ago,en
23,23,2023-01-29 10:23:20+00:00,1619642340305682435,@jbsoutar Don't know if the Italian clubs have the money to buy him but I think he is likely to go to Newcastle and should be worth atleast 35 mil considering the market inflation.,SemperFiArsenal,Don't know Italian clubs money buy I think likely Newcastle worth atleast mil considering market inflation,en
24,24,2023-01-29 10:05:05+00:00,1619637749098881024,"70 percent ng laman ng ref ko puro buy one take one deals. Inflation is a bitch,",edsenyensen,percent laman ref puro buy deals Inflation bitch,en
25,25,2023-01-29 08:33:50+00:00,1619614786152726528,"It’s a reality that when you wanted to have a family, you have to forecast the expenses of having one plus inflation and I’m close to saying, it’s enough reason to work hard in your 20s.",mikeecanaman,Its reality wanted family forecast expenses having plus inflation Im close saying reason work hard s,en
27,27,2023-01-29 07:31:06+00:00,1619598999224475649,Inflation rates sa daily needs pero ang wage wala mi inflate 😢,WndlLnly,Inflation rates daily needs wage wala mi inflate,en
29,29,2023-01-29 06:54:22+00:00,1619589754940690433,lmfao. let's deal with inflation with some good vibes then,WEWsimarc,lmfao let's deal inflation good vibes,en
31,31,2023-01-29 06:38:53+00:00,1619585857958158336,"As inflation bites, your relationship with customers and suppliers matters even more | @FnBReport https://t.co/YJlS49Pchf",inquirerdotnet,As inflation bites relationship customers suppliers matters,en
32,32,2023-01-29 04:30:27+00:00,1619553536316145664,Cooling US inflation lifts hope for smaller Fed rate hike https://t.co/qkRfgKK5cl,TheManilaTimes,Cooling US inflation lifts hope smaller Fed rate hike,en
33,33,2023-01-29 03:24:08+00:00,1619536847167971329,"Argentina NEEDS Bitcoin, 95% Inflation | EP 655 https://t.co/GslsnYaPl9 vía @YouTube",dbdominguezm,Argentina NEEDS Bitcoin Inflation EP va,en
35,35,2023-01-29 02:56:05+00:00,1619529788145926144,@anthro_joe Porsha inflation and weight gain?,fatkangaroo,Porsha inflation weight gain,en
36,36,2023-01-29 02:30:54+00:00,1619523450959437824,"What recession? Inflation, GDP offer hope for “soft landing” - The Hill https://t.co/2qrarZwbn5",EdgeCityFilms,What recession Inflation GDP offer hope soft landing - The Hill,en
37,37,2023-01-29 02:18:07+00:00,1619520232804204544,"Slowing inflation and a cooling property sector are fueling expectations that the US central bank can adopt a smaller interest rate hike this week, as policymakers assess current efforts to rein in prices.
https://t.co/XFeEQV6FRi
#BilyonaryoMoney",bilyonaryo_ph,Slowing inflation cooling property sector fueling expectations US central bank adopt smaller interest rate hike week policymakers assess current efforts rein prices,en
39,39,2023-01-28 21:38:44+00:00,1619449925401739264,"@4thLineHodl Been speculating quietly about the recent problems: could this be the opposite effect from the inflation-plauged places, i.e., Bitcoin is up 40% and so people are draining their gains out of the ATMs? Are they using the ATMs as exchanges, with plans to buy the dip later on?",TwoPeopleInPara,Been speculating quietly recent problems: opposite effect inflation-plauged places e Bitcoin people draining gains ATMs Are ATMs exchanges plans buy dip later,en
40,40,2023-01-28 21:08:46+00:00,1619442380868026368,"@nytimes Why police and people are so frustrated and can’t be tolerant??? Is it because their own government is pushing everyone to the edge by low class services, payments,, inflation,, wasting trillions on overseas conspiracies and so on",Masoud89744517,Why police people frustrated cant tolerant Is government pushing edge low class services payments inflation wasting trillions overseas conspiracies,en
41,41,2023-01-28 20:59:18+00:00,1619440001149968384,@MedNugs If Powell hike gentle .25 bps and is looking at the same data I have inflation is losing steam and a soft landing will lead to an incredible rally with so much money hoarding cash and looking for dollar inflow spiking. GDP is impressive. We survived the bear. Now deploy cash. #EV,GoingGreenPicks,If Powell hike gentle 25 bps looking data I inflation losing steam soft landing lead incredible rally money hoarding cash looking dollar inflow spiking GDP impressive We survived bear Now deploy cash,en
43,43,2023-01-28 19:40:22+00:00,1619420136351350789,"Trigger warning: Suicide

When the state of the economy heightens tendencies of self-destructive behavior, the Marcos administration cannot afford an inflation of hopelessness. https://t.co/PlwlVshTXR",rapplerdotcom,Trigger warning: SuicideWhen state economy heightens tendencies self-destructive behavior Marcos administration afford inflation hopelessness,en
44,44,2023-01-28 19:01:30+00:00,1619410354437763072,made it to middle class but this inflation humbled me and put me back to low,carloybasalo,middle class inflation humbled low,en
45,45,2023-01-28 18:23:34+00:00,1619400809879572480,"""because when the sperm enters her uterus, it will swell so much so that it becomes visible through the skin""

This man has been watching too much inflation porn, me thinks. Also, someone tell him that sperm and semen are NOT the same thing.",QueenPinksweets,"""because sperm enters uterus swell visible skin""This man watching inflation porn thinks Also tell sperm semen NOT thing",en
46,46,2023-01-28 18:02:34+00:00,1619395522128740352,"Trigger warning: Suicide

When the state of the economy heightens tendencies of self-destructive behavior, the Marcos administration cannot afford an inflation of hopelessness. https://t.co/56jCmaHXmw",newsbreakph,Trigger warning: SuicideWhen state economy heightens tendencies self-destructive behavior Marcos administration afford inflation hopelessness,en
47,47,2023-01-28 17:08:30+00:00,1619381919149604865,"@Brian_Stoffel_ Growth Companies from Growth Sectors, like $XLK or $XLY are so Sensetive to Monetary Policy👌

When there was free money (interest rates 0%) and there was no need to fight inflation these Sectors are the best to Grow your Portfolio, now better underweight
 https://t.co/AoUvPNLFb1",AnalisisSeguro,Growth Companies Growth Sectors like XLK XLY Sensetive Monetary PolicyWhen free money (interest rates ) need fight inflation Sectors best Grow Portfolio better underweight,en
48,48,2023-01-28 16:42:37+00:00,1619375403893936128,@Compalt_ @SocDane And you are saying Spain is way behind when we have this inflation rate? https://t.co/iD1AdhMr2D,GavilanRM_,And saying Spain way inflation rate,en
49,49,2023-01-28 15:36:07+00:00,1619358669887672320,@ClownWorld_ she manifesting the entire inflation rates lol,dagz_do11a,manifesting entire inflation rates lol,en
50,50,2023-01-28 14:44:33+00:00,1619345692438446080,Chenle Inflation 😭,zeyyy_jyh,Chenle Inflation,en
53,53,2023-01-28 12:09:04+00:00,1619306562404904960,"@Richeydarian You must also put the consideration that there is a global inflation and geopolitics crisis that could still stagnate us, but to the economists and analysts surprise, we have grown to 7.6% beating almost everyone's expectations.",punongmakata,You consideration global inflation geopolitics crisis stagnate economists analysts surprise grown beating everyone's expectations,en
54,54,2023-01-28 11:06:32+00:00,1619290825665527808,"A few keys we learned from Hey BBK All Day Cafe's Rich and Maxine Sanz on minimizing the risks of inflation: flexibility, foresight, and transparency https://t.co/EsM0Rarqhb",FnBReport,A keys learned Hey BBK All Day Cafe's Rich Maxine Sanz minimizing risks inflation: flexibility foresight transparency,en
55,55,2023-01-28 11:04:22+00:00,1619290281572192257,"Great piece by @RalfRivas. 

Addressing the inflation of hopelessness requires that we think beyond traditional clinical approaches. Our distress must be understood not just as a personal incapacity but as something that deeply human, collective, and political.",docrjnaguit,Great piece Addressing inflation hopelessness requires think traditional clinical approaches Our distress understood personal incapacity deeply human collective political,en
56,56,2023-01-28 10:29:36+00:00,1619281532790902784,"@LadyofCrypto1 It can pull back and correct 20%. But if it’s 25bp &amp; inflation continues to drop, the worst is behind us.

Time to update the bias i think..",Evoke_89,It pull correct But bp inflation continues drop worst Time update bias think,en
57,57,2023-01-28 10:29:19+00:00,1619281459696787459,"@PTVph With 8% inflation...?
What benefits does it brings?",ed_dolar,With inflation What benefits brings,en
58,58,2023-01-28 09:48:17+00:00,1619271134192742400,"@mattomattik financial freedom. but first: learning to invest. i will be a doctor soon, and need to learn how to operate higher timeframes or inflation is gonna eat my wage for 20+ years",noneexistent8,financial freedom first: learning invest doctor soon need learn operate higher timeframes inflation gonna eat wage + years,en
